지점,지점명,일시,SPI1,SPI2,SPI3,SPI4,SPI5,SPI6
156,광주,2022-10-01,-0.32,-1.48,-1.47,-1.42,-1.79,-1.96
156,광주,2022-10-02,-0.34,-1.48,-1.47,-1.41,-1.8,-2
156,광주,2022-10-03,-0.27,-1.51,-1.43,-1.41,-1.82,-2
156,광주,2022-10-04,-0.24,-1.59,-1.42,-1.39,-1.81,-2
156,광주,2022-10-05,0.16,-1.21,-1.23,-1.24,-1.65,-1.85
156,광주,2022-10-06,-0.44,-1.21,-1.25,-1.35,-1.66,-1.85
156,광주,2022-10-07,-1.07,-1.2,-1.22,-1.33,-1.65,-1.82
156,광주,2022-10-08,-1.05,-1.1,-1.21,-1.35,-1.61,-1.83
156,광주,2022-10-09,-0.97,-0.96,-1.23,-1.33,-1.62,-1.83
156,광주,2022-10-10,-0.81,-0.9,-1.18,-1.32,-1.61,-1.81
156,광주,2022-10-11,-0.73,-0.76,-1.16,-1.29,-1.58,-1.8
156,광주,2022-10-12,-0.64,-0.81,-1.2,-1.3,-1.58,-1.81
156,광주,2022-10-13,-0.63,-0.76,-1.1,-1.3,-1.59,-1.8
156,광주,2022-10-14,-0.6,-0.71,-1.08,-1.29,-1.56,-1.8
156,광주,2022-10-15,-0.55,-0.69,-1.1,-1.29,-1.54,-1.78
156,광주,2022-10-16,-0.5,-0.68,-1.05,-1.31,-1.53,-1.78
156,광주,2022-10-17,-0.42,-0.75,-1.01,-1.31,-1.53,-1.78
156,광주,2022-10-18,-0.21,-0.71,-0.95,-1.31,-1.53,-1.77
156,광주,2022-10-19,-0.16,-0.68,-1.28,-1.29,-1.51,-1.76
156,광주,2022-10-20,-0.15,-0.65,-1.27,-1.29,-1.51,-1.77
156,광주,2022-10-21,-0.12,-0.82,-1.26,-1.38,-1.5,-1.77
156,광주,2022-10-22,-0.11,-0.7,-1.26,-1.36,-1.51,-1.76
156,광주,2022-10-23,-0.23,-0.67,-1.24,-1.36,-1.51,-1.73
156,광주,2022-10-24,-0.21,-0.87,-1.35,-1.5,-1.51,-1.72
156,광주,2022-10-25,-0.14,-0.85,-1.41,-1.6,-1.51,-1.69
156,광주,2022-10-26,-0.13,-0.75,-1.39,-1.56,-1.51,-1.8
156,광주,2022-10-27,-0.13,-0.67,-1.33,-1.55,-1.51,-1.83
156,광주,2022-10-28,-0.11,-0.59,-1.32,-1.55,-1.51,-1.81
156,광주,2022-10-29,-0.12,-0.55,-1.32,-1.52,-1.49,-1.8
156,광주,2022-10-30,-0.14,-0.52,-1.32,-1.52,-1.47,-1.84
156,광주,2022-10-31,-0.15,-0.47,-1.31,-1.51,-1.48,-1.83
156,광주,2022-11-01,-0.19,-0.48,-1.5,-1.52,-1.48,-1.84
156,광주,2022-11-02,-0.16,-0.44,-1.44,-1.49,-1.43,-1.81
156,광주,2022-11-03,-0.01,-0.36,-1.44,-1.44,-1.41,-1.81
156,광주,2022-11-04,0.01,-0.32,-1.51,-1.42,-1.38,-1.8
156,광주,2022-11-05,-1.5,-0.32,-1.4,-1.42,-1.38,-1.79
156,광주,2022-11-06,-1.66,-0.99,-1.41,-1.42,-1.48,-1.79
156,광주,2022-11-07,-1.65,-1.62,-1.4,-1.39,-1.46,-1.78
156,광주,2022-11-08,-1.69,-1.66,-1.32,-1.39,-1.49,-1.75
156,광주,2022-11-09,-1.72,-1.67,-1.2,-1.42,-1.49,-1.77
156,광주,2022-11-10,-2.17,-1.65,-1.16,-1.4,-1.49,-1.78
156,광주,2022-11-11,-3.36,-1.6,-1.04,-1.39,-1.47,-1.77
156,광주,2022-11-12,-3.35,-1.44,-1.08,-1.42,-1.48,-1.75
156,광주,2022-11-13,-0.74,-1.01,-0.94,-1.21,-1.38,-1.65
156,광주,2022-11-15,-0.23,-0.73,-0.8,-1.17,-1.35,-1.58
156,광주,2022-11-16,-0.22,-0.68,-0.79,-1.13,-1.36,-1.58
156,광주,2022-11-17,-0.28,-0.67,-0.87,-1.08,-1.36,-1.58
156,광주,2022-11-18,-0.31,-0.61,-0.84,-1.03,-1.37,-1.58
156,광주,2022-11-19,-0.35,-0.61,-0.85,-1.36,-1.37,-1.59
156,광주,2022-11-20,-0.41,-0.67,-0.83,-1.35,-1.37,-1.58
156,광주,2022-11-21,-0.41,-0.64,-1.01,-1.34,-1.45,-1.56
156,광주,2022-11-22,-0.4,-0.63,-0.89,-1.33,-1.43,-1.56
156,광주,2022-11-23,-0.33,-0.59,-0.85,-1.3,-1.42,-1.56
156,광주,2022-11-24,-0.34,-0.58,-1.06,-1.42,-1.56,-1.56
156,광주,2022-11-25,-0.36,-0.57,-1.06,-1.48,-1.67,-1.57
156,광주,2022-11-26,-0.35,-0.6,-0.98,-1.47,-1.63,-1.57
156,광주,2022-11-27,-0.31,-0.6,-0.93,-1.41,-1.63,-1.58
156,광주,2022-11-28,-0.32,-0.62,-0.85,-1.41,-1.63,-1.57
156,광주,2022-11-29,-0.11,-0.53,-0.78,-1.37,-1.57,-1.53
156,광주,2022-11-30,0.07,-0.38,-0.7,-1.36,-1.55,-1.51
156,광주,2022-12-01,0.12,-0.35,-0.62,-1.5,-1.54,-1.5
156,광주,2022-12-02,0.14,-0.27,-0.58,-1.45,-1.51,-1.47
156,광주,2022-12-03,0.12,-0.14,-0.48,-1.44,-1.46,-1.44
156,광주,2022-12-04,0.09,-0.14,-0.45,-1.52,-1.45,-1.42
156,광주,2022-12-05,0.02,-0.98,-0.49,-1.46,-1.46,-1.43
156,광주,2022-12-06,0.01,-0.99,-1.1,-1.47,-1.46,-1.53
156,광주,2022-12-07,0.01,-0.95,-1.58,-1.47,-1.44,-1.51
156,광주,2022-12-08,0.05,-0.9,-1.57,-1.4,-1.42,-1.52
156,광주,2022-12-09,0.09,-0.92,-1.59,-1.26,-1.45,-1.51
156,광주,2022-12-10,0.09,-1,-1.54,-1.22,-1.42,-1.51
156,광주,2022-12-11,0.12,-1.08,-1.52,-1.17,-1.4,-1.49
156,광주,2022-12-12,0.15,-1.03,-1.35,-1.21,-1.43,-1.49
156,광주,2022-12-13,-0.62,-0.94,-1.31,-1.16,-1.34,-1.49
156,광주,2022-12-14,-1.13,-0.94,-1.28,-1.13,-1.33,-1.48
156,광주,2022-12-15,-1.09,-0.87,-1.19,-1.08,-1.34,-1.48
156,광주,2022-12-16,-0.97,-0.83,-1.14,-1.07,-1.3,-1.49
156,광주,2022-12-17,-0.97,-0.82,-1.1,-1.16,-1.25,-1.49
156,광주,2022-12-18,-0.78,-0.76,-1.01,-1.1,-1.18,-1.49
156,광주,2022-12-19,-0.51,-0.62,-0.91,-1.06,-1.47,-1.44
156,광주,2022-12-20,-0.47,-0.65,-0.92,-1.03,-1.47,-1.44
156,광주,2022-12-21,-0.43,-0.67,-0.9,-1.22,-1.46,-1.53
156,광주,2022-12-22,-0.29,-0.55,-0.82,-1.07,-1.42,-1.49
156,광주,2022-12-23,-0.22,-0.49,-0.75,-1,-1.38,-1.48
156,광주,2022-12-24,0.26,-0.15,-0.48,-1.08,-1.4,-1.55
156,광주,2022-12-25,0.32,-0.17,-0.44,-1.07,-1.46,-1.65
156,광주,2022-12-26,0.35,-0.16,-0.44,-0.96,-1.45,-1.61
156,광주,2022-12-27,0.37,-0.14,-0.44,-0.9,-1.38,-1.6
156,광주,2022-12-28,0.43,-0.13,-0.42,-0.8,-1.36,-1.6
156,광주,2022-12-29,0.28,-0.1,-0.42,-0.77,-1.36,-1.55
156,광주,2022-12-30,0,-0.08,-0.41,-0.73,-1.37,-1.56
156,광주,2022-12-31,0.06,-0.09,-0.38,-0.67,-1.34,-1.54
156,광주,2023-01-01,0.02,-0.07,-0.4,-0.67,-1.51,-1.55
156,광주,2023-01-02,0,0,0,0,0,0
156,광주,2023-01-03,0.1,-0.03,-0.21,-0.53,-1.45,-1.47
156,광주,2023-01-04,0.12,-0.04,-0.2,-0.49,-1.52,-1.46
156,광주,2023-01-05,0.25,-0.06,-0.91,-0.5,-1.46,-1.45
156,광주,2023-01-06,0.25,-0.06,-0.9,-1.07,-1.47,-1.46
156,광주,2023-01-07,0.4,0.02,-0.83,-1.48,-1.44,-1.42
156,광주,2023-01-08,0.33,0.01,-0.89,-1.51,-1.41,-1.41
156,광주,2023-01-09,0.34,0.08,-0.88,-1.49,-1.27,-1.43
156,광주,2023-01-10,0.38,0.1,-0.96,-1.42,-1.22,-1.4
156,광주,2023-01-11,0.41,0.15,-1.04,-1.41,-1.16,-1.39
156,광주,2023-01-12,0.38,0.16,-1.03,-1.28,-1.21,-1.42
156,광주,2023-01-13,0.37,-0.48,-0.97,-1.24,-1.16,-1.33
156,광주,2023-01-14,1.13,0.01,-0.31,-0.85,-0.96,-1.18
156,광주,2023-01-15,1.21,0.01,-0.29,-0.79,-0.93,-1.21
156,광주,2023-01-16,1.2,0.01,-0.29,-0.74,-0.92,-1.19
156,광주,2023-01-17,1.16,0.02,-0.29,-0.7,-1.01,-1.14
